sample	unit	platform	fq1	fq2	RG
6Jul21-10_S111	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-10_S111_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-10_S111_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-10_S111\tSM:6Jul21-10_S111\tPU:none\tLB:6Jul21-10_S111\tPL:ILLUMINA"
6Jul21-11_S112	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-11_S112_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-11_S112_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-11_S112\tSM:6Jul21-11_S112\tPU:none\tLB:6Jul21-11_S112\tPL:ILLUMINA"
6Jul21-12_S113	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-12_S113_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-12_S113_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-12_S113\tSM:6Jul21-12_S113\tPU:none\tLB:6Jul21-12_S113\tPL:ILLUMINA"
6Jul21-13_S114	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-13_S114_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-13_S114_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-13_S114\tSM:6Jul21-13_S114\tPU:none\tLB:6Jul21-13_S114\tPL:ILLUMINA"
6Jul21-14_S115	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-14_S115_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-14_S115_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-14_S115\tSM:6Jul21-14_S115\tPU:none\tLB:6Jul21-14_S115\tPL:ILLUMINA"
6Jul21-15_S116	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-15_S116_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-15_S116_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-15_S116\tSM:6Jul21-15_S116\tPU:none\tLB:6Jul21-15_S116\tPL:ILLUMINA"
6Jul21-16_S117	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-16_S117_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-16_S117_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-16_S117\tSM:6Jul21-16_S117\tPU:none\tLB:6Jul21-16_S117\tPL:ILLUMINA"
6Jul21-1_S102	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-1_S102_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-1_S102_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-1_S102\tSM:6Jul21-1_S102\tPU:none\tLB:6Jul21-1_S102\tPL:ILLUMINA"
6Jul21-2_S103	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-2_S103_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-2_S103_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-2_S103\tSM:6Jul21-2_S103\tPU:none\tLB:6Jul21-2_S103\tPL:ILLUMINA"
6Jul21-3_S104	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-3_S104_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-3_S104_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-3_S104\tSM:6Jul21-3_S104\tPU:none\tLB:6Jul21-3_S104\tPL:ILLUMINA"
6Jul21-4_S105	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-4_S105_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-4_S105_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-4_S105\tSM:6Jul21-4_S105\tPU:none\tLB:6Jul21-4_S105\tPL:ILLUMINA"
6Jul21-5_S106	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-5_S106_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-5_S106_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-5_S106\tSM:6Jul21-5_S106\tPU:none\tLB:6Jul21-5_S106\tPL:ILLUMINA"
6Jul21-6_S107	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-6_S107_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-6_S107_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-6_S107\tSM:6Jul21-6_S107\tPU:none\tLB:6Jul21-6_S107\tPL:ILLUMINA"
6Jul21-7_S108	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-7_S108_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-7_S108_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-7_S108\tSM:6Jul21-7_S108\tPU:none\tLB:6Jul21-7_S108\tPL:ILLUMINA"
6Jul21-8_S109	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-8_S109_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-8_S109_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-8_S109\tSM:6Jul21-8_S109\tPU:none\tLB:6Jul21-8_S109\tPL:ILLUMINA"
6Jul21-9_S110	1	ILLUMINA	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-9_S110_L003_R1_001.fastq.gz	/home/jamie/EF_genomes/210728_AHCHLLDSX2/6Jul21-9_S110_L003_R2_001.fastq.gz	"@RG\tID:6Jul21-9_S110\tSM:6Jul21-9_S110\tPU:none\tLB:6Jul21-9_S110\tPL:ILLUMINA"
